,roc_auc,roc_auc,pr_auc,pr_auc,log_loss,log_loss,brier,brier,f1,f1,balanced_accuracy,balanced_accuracy,time_sec,time_sec
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,,,,,
boosting,0.78,0.007,0.55,0.012,0.54,0.0057,0.18,0.0021,0.54,0.0096,0.71,0.0075,26,7.4
logistic,0.72,0.005,0.5,0.0086,0.47,0.0033,0.14,0.001,0.36,0.0085,0.61,0.0036,0.15,0.074
random_forest,0.78,0.0058,0.56,0.0088,0.46,0.0046,0.15,0.0021,0.54,0.012,0.7,0.0073,5.5,4.1
stacking,0.78,0.0057,0.56,0.0077,0.43,0.0042,0.13,0.0017,0.49,0.0098,0.66,0.0049,2.7e+02,99
xrfm,0.73,0.0081,0.48,0.013,0.55,0.011,0.15,0.0025,0.45,0.011,0.65,0.0058,1.6e+02,1.1e+02
